epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,255.559,0.89114,2.1858,4.10358,1.29771,0,0.4708,0.10132,0.07243,0.05767,0.47046,0.10147,0.07274,0.05446,0.84282,1.84496,3.20781,1.27763,0,3.09006e-05,3.09006e-05,3.09006e-05
2,507.037,0.77673,1.68983,2.68724,1.18447,0,0.51729,0.15563,0.13688,0.10981,0.52803,0.15585,0.13753,0.10539,0.80333,1.65233,2.56759,1.21419,0,6.12878e-05,6.12878e-05,6.12878e-05
3,756.726,0.74108,1.58436,2.26757,1.15094,0,0.54445,0.20624,0.17334,0.13907,0.54694,0.20453,0.17441,0.13275,0.79575,1.64874,2.29357,1.20241,0,9.10612e-05,9.10612e-05,9.10612e-05
4,1004.14,0.72782,1.54355,2.11444,1.139,0,0.55725,0.2229,0.19778,0.15963,0.56695,0.22247,0.19849,0.15369,0.78174,1.60435,2.16602,1.18947,0,9.02379e-05,9.02379e-05,9.02379e-05
5,1252.2,0.71235,1.50175,1.97963,1.11725,0,0.48366,0.24584,0.20658,0.16503,0.48467,0.24519,0.20736,0.15907,0.78653,1.56328,2.10651,1.18471,0,8.93172e-05,8.93172e-05,8.93172e-05
6,1501.04,0.69768,1.44425,1.88581,1.10878,0,0.4619,0.26119,0.22862,0.18395,0.4729,0.26081,0.2302,0.17667,0.76175,1.53247,2.02022,1.16664,0,8.83965e-05,8.83965e-05,8.83965e-05
7,1749.94,0.6843,1.42364,1.80744,1.09763,0,0.4989,0.26449,0.24341,0.19691,0.50942,0.26135,0.24292,0.18825,0.7491,1.51802,1.91563,1.15577,0,8.74758e-05,8.74758e-05,8.74758e-05
8,1999.49,0.66718,1.38118,1.72101,1.08457,0,0.53392,0.2868,0.26981,0.21998,0.53943,0.28282,0.27002,0.20983,0.74551,1.5458,1.83022,1.1489,0,8.65551e-05,8.65551e-05,8.65551e-05
9,2241.26,0.66462,1.36199,1.6713,1.08198,0,0.50545,0.28914,0.27179,0.22227,0.52017,0.28196,0.27303,0.21236,0.72767,1.47532,1.82463,1.13762,0,8.56344e-05,8.56344e-05,8.56344e-05
10,2481.78,0.65349,1.33413,1.60519,1.0722,0,0.4975,0.29126,0.27579,0.22427,0.50142,0.28975,0.27774,0.21368,0.72263,1.48214,1.78913,1.12899,0,8.47137e-05,8.47137e-05,8.47137e-05
11,2722.3,0.64526,1.31194,1.58466,1.07017,0,0.50661,0.30377,0.28494,0.2323,0.50966,0.30329,0.2843,0.22254,0.72344,1.47819,1.78234,1.1363,0,8.3793e-05,8.3793e-05,8.3793e-05
12,2963.32,0.64325,1.30121,1.52862,1.06482,0,0.47812,0.3202,0.29246,0.23784,0.47645,0.31954,0.29223,0.22635,0.72087,1.47364,1.74938,1.12773,0,8.28723e-05,8.28723e-05,8.28723e-05
