epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,287.42,0.84105,1.97097,3.13771,1.23222,0,0.5643,0.15372,0.13271,0.10373,0.59192,0.14845,0.13322,0.09797,0.84943,1.81491,2.59158,1.25351,0,0.00996795,0.00332265,0.00996795,0.00332265,0.00996795,0.00332265,0.00996795,0.00332265
2,551.996,0.8148,1.74692,2.2968,1.1861,0,0.48141,0.15334,0.09809,0.07116,0.48161,0.15203,0.09681,0.06704,1.03244,2.23539,2.91371,1.42688,0,0.0198362,0.00661205,0.0198362,0.00661205,0.0198362,0.00661205,0.0198362,0.00661205
3,809.535,0.90707,1.88798,2.32176,1.24409,0,0.37655,0.14803,0.08543,0.05933,0.37227,0.14505,0.08245,0.05452,1.14402,2.66304,2.9593,1.51976,0,0.0295724,0.00985746,0.0295724,0.00985746,0.0295724,0.00985746,0.0295724,0.00985746
4,1062.37,0.96758,1.9875,2.40327,1.29503,0,0.42248,0.16679,0.1102,0.07767,0.4349,0.16154,0.10945,0.07452,1.0831,2.31481,2.5959,1.45523,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1316.26,0.94322,1.94046,2.30695,1.27471,0,0.44834,0.16866,0.11717,0.08323,0.46068,0.16766,0.11809,0.08027,1.04298,2.21121,2.68137,1.4101,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1569.01,0.91435,1.84411,2.21288,1.2513,0,0.43959,0.19342,0.15431,0.11396,0.45935,0.19023,0.15477,0.1107,0.97494,1.94126,2.2754,1.3556,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1820.83,0.88366,1.78665,2.12391,1.23146,0,0.50624,0.21599,0.17601,0.13224,0.50513,0.22029,0.17501,0.12665,0.94699,1.91468,2.20107,1.34145,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2073.99,0.85854,1.73701,2.06047,1.21567,0,0.45456,0.21563,0.16867,0.12503,0.45884,0.20993,0.17017,0.12173,0.93256,1.87224,2.22591,1.31681,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2325.68,0.84444,1.69825,2.01265,1.20563,0,0.44404,0.23543,0.19175,0.14799,0.45859,0.23332,0.19207,0.14277,0.87283,1.75574,2.06792,1.2668,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2576.74,0.82647,1.6591,1.9515,1.19079,0,0.52538,0.2214,0.20271,0.15575,0.52713,0.222,0.20332,0.15006,0.86463,1.77583,2.04612,1.26985,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2828.66,0.80469,1.60671,1.90279,1.1811,0,0.40573,0.24892,0.20557,0.15819,0.39794,0.24413,0.20397,0.15169,0.87559,1.80761,2.02237,1.28819,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3080.31,0.79578,1.58524,1.85503,1.1725,0,0.43727,0.2544,0.21724,0.16756,0.45185,0.2488,0.21734,0.16104,0.84478,1.70762,1.9769,1.24132,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3331.61,0.79003,1.57281,1.82898,1.17012,0,0.48021,0.25473,0.22985,0.17701,0.48628,0.25262,0.22967,0.17021,0.8405,1.69794,1.92944,1.246,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3584.18,0.77507,1.53755,1.78181,1.15616,0,0.42049,0.26164,0.23386,0.18006,0.41864,0.26192,0.2332,0.17511,0.8344,1.66403,1.90407,1.23559,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3835.85,0.76513,1.51254,1.74595,1.14787,0,0.46157,0.26455,0.24037,0.18521,0.46047,0.26472,0.23995,0.17938,0.82606,1.65381,1.86845,1.2265,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,4087.52,0.75608,1.50728,1.71694,1.14135,0,0.39639,0.27757,0.23968,0.18643,0.40163,0.27415,0.238,0.1785,0.81583,1.66187,1.90283,1.22805,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,4338.12,0.75183,1.48839,1.67999,1.14173,0,0.45032,0.28965,0.25099,0.19832,0.44441,0.29424,0.25172,0.19061,0.80038,1.59906,1.82024,1.20562,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,4592.9,0.73597,1.45562,1.64324,1.12761,0,0.44149,0.27537,0.24224,0.19033,0.44245,0.27377,0.24214,0.18223,0.8075,1.67922,1.8487,1.21422,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,4843.6,0.73094,1.43833,1.62941,1.12578,0,0.44321,0.2789,0.2637,0.2081,0.44466,0.28161,0.26572,0.2009,0.78669,1.57206,1.79776,1.19724,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,5092.97,0.7223,1.42876,1.59044,1.11757,0,0.42244,0.27366,0.24079,0.19033,0.42632,0.27451,0.24215,0.18423,0.81298,1.59757,1.90123,1.22531,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,5342.89,0.71765,1.40512,1.56283,1.11258,0,0.46249,0.27424,0.27274,0.21592,0.47661,0.27412,0.27255,0.2078,0.78427,1.57628,1.7541,1.19232,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,5593.22,0.70984,1.38854,1.55357,1.11283,0,0.457,0.28403,0.26588,0.21037,0.45694,0.28379,0.26569,0.2021,0.78309,1.5684,1.78889,1.19609,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,5842.39,0.6938,1.35589,1.50872,1.09967,0,0.40313,0.30203,0.28089,0.22446,0.40551,0.30193,0.2799,0.21539,0.7669,1.53747,1.73572,1.18897,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6091.65,0.7014,1.37135,1.50187,1.10075,0,0.39938,0.30505,0.28157,0.22269,0.3944,0.30893,0.28189,0.21296,0.75932,1.51407,1.71434,1.16893,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,6340.93,0.68981,1.33684,1.47517,1.09533,0,0.41375,0.30654,0.28343,0.22583,0.41605,0.30926,0.28384,0.21633,0.76947,1.55115,1.74168,1.17599,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,6590.09,0.68531,1.3367,1.44922,1.09104,0,0.43397,0.31428,0.29733,0.23814,0.43127,0.31426,0.29508,0.22844,0.74953,1.50865,1.67787,1.17083,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,6838.96,0.68107,1.31468,1.42864,1.08845,0,0.38626,0.32041,0.2829,0.22575,0.38947,0.3209,0.28356,0.21639,0.75471,1.55317,1.73861,1.1642,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,7087.55,0.67796,1.31298,1.42146,1.08497,0,0.45275,0.30712,0.29162,0.23055,0.44624,0.31364,0.29234,0.22385,0.75433,1.51629,1.69868,1.16914,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,7336.31,0.6806,1.32597,1.40618,1.08625,0,0.43168,0.31368,0.3058,0.24613,0.4372,0.31403,0.30542,0.23373,0.75255,1.49618,1.64852,1.16557,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,7585.12,0.66747,1.2907,1.37465,1.08021,0,0.42739,0.30637,0.29437,0.235,0.43311,0.30575,0.29353,0.22711,0.75019,1.50768,1.6881,1.17105,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,7833.91,0.66417,1.28074,1.34697,1.07385,0,0.38863,0.34214,0.30514,0.24419,0.38915,0.3434,0.30597,0.23403,0.75078,1.49538,1.651,1.1704,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,8082.41,0.65598,1.26276,1.33364,1.07009,0,0.43029,0.335,0.31912,0.25656,0.43085,0.3326,0.31828,0.24429,0.74665,1.50768,1.63918,1.16833,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8331.47,0.65121,1.25705,1.31847,1.06793,0,0.44851,0.31067,0.30602,0.24694,0.45519,0.3103,0.3065,0.23674,0.743,1.48087,1.66595,1.16291,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8579.31,0.65274,1.25504,1.29918,1.06732,0,0.449,0.32855,0.31074,0.25,0.45076,0.3297,0.31076,0.24027,0.75209,1.52469,1.65768,1.17385,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8827.11,0.64192,1.21608,1.26705,1.05864,0,0.41826,0.3305,0.30941,0.24938,0.43263,0.32373,0.31077,0.23865,0.73993,1.50092,1.64586,1.16742,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,9075.75,0.63996,1.2248,1.26548,1.05717,0,0.42826,0.32827,0.30746,0.248,0.42385,0.32785,0.30532,0.23755,0.73987,1.49145,1.65715,1.16389,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,9323.18,0.63446,1.20465,1.22786,1.0541,0,0.4188,0.3231,0.30674,0.24661,0.42294,0.32623,0.30696,0.23673,0.74403,1.50982,1.68705,1.16725,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,9570.87,0.63756,1.21142,1.22463,1.05403,0,0.40204,0.3476,0.32046,0.26015,0.40326,0.34197,0.3173,0.24915,0.72772,1.46569,1.62722,1.14748,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,9818.78,0.63497,1.21056,1.2211,1.05427,0,0.40207,0.33842,0.31018,0.25333,0.40489,0.33642,0.3102,0.24082,0.72706,1.4877,1.65402,1.15244,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,10066.8,0.62284,1.19467,1.19597,1.04824,0,0.42519,0.3281,0.31376,0.25466,0.43184,0.32496,0.31521,0.2446,0.73643,1.4763,1.63484,1.16152,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,10314.6,0.6247,1.18916,1.1746,1.0458,0,0.45802,0.33087,0.3313,0.26915,0.45423,0.33377,0.33174,0.256,0.72968,1.46863,1.63075,1.15718,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,10562.1,0.61861,1.17529,1.1711,1.04318,0,0.43213,0.35068,0.31794,0.25754,0.42344,0.35024,0.31718,0.24661,0.72625,1.47232,1.64304,1.15145,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,10811.2,0.61984,1.16687,1.14641,1.04244,0,0.40858,0.34556,0.32055,0.26131,0.40714,0.3454,0.32037,0.24992,0.72317,1.50163,1.64508,1.15322,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,11058.2,0.60987,1.15128,1.1266,1.03723,0,0.41816,0.34171,0.32869,0.2669,0.41859,0.34092,0.32735,0.25637,0.72686,1.49152,1.6296,1.15708,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11306,0.61134,1.15581,1.11199,1.03772,0,0.41977,0.34459,0.32673,0.26711,0.42238,0.34454,0.32841,0.25465,0.72562,1.46297,1.62451,1.15198,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,11553.2,0.60783,1.14755,1.11292,1.03444,0,0.39778,0.34852,0.32639,0.26508,0.40868,0.34455,0.32453,0.25389,0.72282,1.49768,1.64107,1.15156,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,11800.3,0.60714,1.13479,1.09665,1.03482,0,0.43993,0.33369,0.32603,0.26489,0.43733,0.33233,0.32629,0.2541,0.72542,1.4965,1.64117,1.15664,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,12047.6,0.60328,1.13391,1.07593,1.03145,0,0.46414,0.33194,0.33366,0.27046,0.46796,0.33318,0.33448,0.25855,0.72474,1.46243,1.62893,1.15751,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12295.5,0.6,1.12885,1.06872,1.02832,0,0.43968,0.33001,0.32457,0.2641,0.42436,0.33764,0.32248,0.25293,0.73135,1.49529,1.65323,1.1619,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12542.8,0.59371,1.1143,1.0446,1.0244,0,0.44593,0.34369,0.33238,0.26909,0.45938,0.32978,0.33058,0.25768,0.7337,1.48525,1.64212,1.1658,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,12790.4,0.59245,1.10849,1.03536,1.02424,0,0.43219,0.34406,0.33109,0.27222,0.43556,0.34551,0.33282,0.26084,0.71653,1.4688,1.62355,1.14764,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,13038,0.59092,1.10845,1.01583,1.02172,0,0.46818,0.3392,0.3358,0.27392,0.46545,0.33849,0.33444,0.26009,0.72287,1.47605,1.6499,1.15423,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,13286.7,0.58952,1.09957,1.01244,1.02181,0,0.4354,0.34093,0.32965,0.26619,0.4318,0.3485,0.32963,0.25605,0.71776,1.48834,1.62052,1.14873,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,13535.3,0.58451,1.09118,0.99966,1.01905,0,0.43185,0.34639,0.33813,0.27649,0.43918,0.34792,0.33898,0.26312,0.71271,1.46611,1.62624,1.14332,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,13784.7,0.58057,1.08674,0.98792,1.01552,0,0.43878,0.34844,0.33628,0.27484,0.44453,0.34522,0.33731,0.26327,0.71806,1.4854,1.64756,1.15515,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,14032.4,0.57955,1.08303,0.96729,1.01369,0,0.45768,0.34642,0.33178,0.27148,0.45912,0.34719,0.33207,0.25817,0.72061,1.48129,1.66963,1.15406,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
