epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3692,1.07164,2.97214,4.99684,1.3523,0,0,0,0,0,0,0,0,0,0.86848,2.46082,5.0105,1.27042,0,3.05079e-05,3.05079e-05,3.05079e-05
2,41.193,0.94083,2.46328,4.92051,1.24917,0,0,0,0,0,0,0,0,0,0.83373,2.27895,4.91391,1.21816,0,6.02901e-05,6.02901e-05,6.02901e-05
3,59.9227,0.85314,2.14226,4.84297,1.19171,0,0.00132,0.00045,3e-05,2e-05,0.00132,0.00045,3e-05,2e-05,0.81127,2.11575,4.82963,1.20523,0,8.88446e-05,8.88446e-05,8.88446e-05
4,79.4813,0.83135,2.05191,4.79466,1.16872,0,0.01472,0.01365,0.00382,0.00338,0.01405,0.01253,0.00376,0.00333,0.79972,1.98348,4.74234,1.19196,0,8.74758e-05,8.74758e-05,8.74758e-05
5,98.8053,0.81529,1.95618,4.71682,1.16356,0,0.01779,0.03364,0.00765,0.00664,0.01739,0.03347,0.00772,0.00615,0.80182,1.95616,4.67535,1.18713,0,8.56344e-05,8.56344e-05,8.56344e-05
6,118.067,0.80981,1.92653,4.65538,1.15084,0,0.01853,0.07232,0.01344,0.0114,0.01825,0.07158,0.0137,0.01093,0.80973,1.92065,4.61033,1.19242,0,8.3793e-05,8.3793e-05,8.3793e-05
7,136.489,0.8121,1.83522,4.58351,1.15292,0,0.02205,0.09755,0.02089,0.01812,0.02164,0.09552,0.02091,0.01739,0.82069,1.89816,4.5529,1.20696,0,8.19516e-05,8.19516e-05,8.19516e-05
8,155.924,0.80513,1.81968,4.51494,1.1427,0,0.02222,0.1332,0.02648,0.02247,0.01908,0.1292,0.02526,0.02031,0.8169,1.87495,4.47788,1.19197,0,8.01102e-05,8.01102e-05,8.01102e-05
9,175.001,0.81951,1.77763,4.44346,1.14862,0,0.01947,0.14969,0.02655,0.02216,0.01939,0.14824,0.02692,0.0212,0.82955,1.87257,4.43878,1.20124,0,7.82688e-05,7.82688e-05,7.82688e-05
10,194.308,0.82003,1.79111,4.36311,1.156,0,0.01503,0.18457,0.03236,0.02758,0.01502,0.18391,0.03286,0.02633,0.82193,1.84182,4.35657,1.19841,0,7.64274e-05,7.64274e-05,7.64274e-05
11,213.318,0.81757,1.74359,4.29321,1.14338,0,0.0133,0.22984,0.03429,0.029,0.16521,0.1074,0.03499,0.02766,0.82543,1.8245,4.26162,1.19831,0,7.4586e-05,7.4586e-05,7.4586e-05
12,232.4,0.82121,1.73232,4.21773,1.15513,0,0.54237,0.03809,0.03444,0.02865,0.62301,0.03229,0.03513,0.02746,0.82125,1.78757,4.23995,1.19826,0,7.27446e-05,7.27446e-05,7.27446e-05
13,251.603,0.82419,1.69276,4.16377,1.15384,0,0.64195,0.03249,0.03897,0.03216,0.64196,0.03271,0.0391,0.03062,0.83831,1.82798,4.23279,1.22191,0,7.09032e-05,7.09032e-05,7.09032e-05
14,271.269,0.81944,1.62979,4.07204,1.15955,0,0.59775,0.0379,0.04003,0.03322,0.59863,0.03889,0.04056,0.03163,0.84837,1.8448,4.21002,1.23433,0,6.90618e-05,6.90618e-05,6.90618e-05
15,290.558,0.84857,1.69688,4.05215,1.17162,0,0.55867,0.04423,0.04477,0.03698,0.55921,0.04503,0.0446,0.03505,0.86491,1.788,4.14774,1.23988,0,6.72204e-05,6.72204e-05,6.72204e-05
16,309.844,0.82882,1.63138,3.97983,1.16203,0,0.57818,0.04884,0.04616,0.03758,0.5804,0.05067,0.04668,0.03643,0.87646,1.78998,4.11395,1.24338,0,6.5379e-05,6.5379e-05,6.5379e-05
17,329.407,0.84835,1.66145,3.90303,1.16281,0,0.52042,0.05705,0.04905,0.04024,0.52166,0.05895,0.05,0.03856,0.8744,1.80171,4.04874,1.24035,0,6.35376e-05,6.35376e-05,6.35376e-05
18,349.046,0.84138,1.62567,3.8755,1.1643,0,0.52137,0.05969,0.05095,0.04173,0.5224,0.06137,0.05208,0.03986,0.88375,1.7928,4.04414,1.25414,0,6.16962e-05,6.16962e-05,6.16962e-05
19,368.557,0.8422,1.57357,3.7666,1.15648,0,0.51218,0.07031,0.05481,0.04456,0.51262,0.07138,0.05596,0.04242,0.88135,1.76201,3.97547,1.23995,0,5.98548e-05,5.98548e-05,5.98548e-05
20,387.656,0.82545,1.53922,3.76364,1.16318,0,0.4463,0.07113,0.05894,0.04837,0.45911,0.07217,0.05885,0.04404,0.89126,1.791,3.92384,1.25466,0,5.80134e-05,5.80134e-05,5.80134e-05
21,407.24,0.8455,1.57607,3.71346,1.16237,0,0.50254,0.06885,0.06008,0.04826,0.50227,0.07803,0.06304,0.04643,0.88007,1.77705,3.89513,1.24152,0,5.6172e-05,5.6172e-05,5.6172e-05
22,426.702,0.84016,1.57547,3.62778,1.16385,0,0.51423,0.07255,0.06084,0.0494,0.51464,0.07387,0.06087,0.04664,0.88045,1.77235,3.88041,1.24436,0,5.43306e-05,5.43306e-05,5.43306e-05
23,446.223,0.8313,1.52992,3.62384,1.15668,0,0.4993,0.07949,0.066,0.05327,0.43672,0.08487,0.06672,0.04912,0.87991,1.76625,3.82121,1.24173,0,5.24892e-05,5.24892e-05,5.24892e-05
24,466.66,0.83733,1.54708,3.56428,1.16299,0,0.4903,0.07669,0.06844,0.05524,0.46492,0.08387,0.06897,0.05096,0.88127,1.76387,3.80087,1.24545,0,5.06478e-05,5.06478e-05,5.06478e-05
25,486.601,0.83515,1.5494,3.51561,1.15117,0,0.50892,0.07664,0.06607,0.05361,0.4842,0.08007,0.06966,0.05157,0.87458,1.76413,3.85066,1.24861,0,4.88064e-05,4.88064e-05,4.88064e-05
26,506.512,0.83257,1.51317,3.50229,1.14628,0,0.49586,0.08201,0.07241,0.059,0.47014,0.08577,0.07731,0.05731,0.88425,1.7578,3.80322,1.254,0,4.6965e-05,4.6965e-05,4.6965e-05
27,526.021,0.81974,1.49681,3.45072,1.14687,0,0.55793,0.08816,0.07276,0.05984,0.54465,0.09247,0.07649,0.05761,0.8804,1.75298,3.77455,1.25657,0,4.51236e-05,4.51236e-05,4.51236e-05
28,545.952,0.82749,1.45826,3.43993,1.14345,0,0.52054,0.09264,0.0787,0.06481,0.50767,0.09802,0.08203,0.06202,0.87884,1.76741,3.71953,1.25186,0,4.32822e-05,4.32822e-05,4.32822e-05
29,565.673,0.8436,1.50883,3.41159,1.16002,0,0.48406,0.09374,0.07416,0.06047,0.45812,0.09626,0.07737,0.05828,0.89237,1.8143,3.72975,1.26691,0,4.14408e-05,4.14408e-05,4.14408e-05
30,584.987,0.81615,1.45591,3.39693,1.14698,0,0.43571,0.10124,0.08133,0.0665,0.43966,0.10985,0.08512,0.06395,0.87546,1.71865,3.65305,1.24269,0,3.95994e-05,3.95994e-05,3.95994e-05
31,604.436,0.83051,1.5202,3.3184,1.14917,0,0.46195,0.09711,0.08201,0.06672,0.46713,0.10061,0.08785,0.06426,0.87719,1.72792,3.65381,1.2474,0,3.7758e-05,3.7758e-05,3.7758e-05
32,624.688,0.80751,1.45856,3.32209,1.13993,0,0.46252,0.09695,0.08187,0.06626,0.46706,0.10204,0.08561,0.06295,0.88141,1.74783,3.66848,1.25438,0,3.59166e-05,3.59166e-05,3.59166e-05
33,644.334,0.8325,1.5036,3.32414,1.15398,0,0.39218,0.10506,0.08727,0.07124,0.40922,0.11074,0.09366,0.06797,0.87347,1.73521,3.61846,1.24683,0,3.40752e-05,3.40752e-05,3.40752e-05
34,663.888,0.8168,1.48107,3.28636,1.14911,0,0.40586,0.11085,0.08861,0.07202,0.42263,0.11361,0.09504,0.06866,0.8743,1.73428,3.60035,1.24763,0,3.22338e-05,3.22338e-05,3.22338e-05
35,683.693,0.8328,1.48455,3.28719,1.15856,0,0.39506,0.10921,0.09014,0.07284,0.39902,0.11818,0.09517,0.06962,0.87855,1.74842,3.59078,1.24999,0,3.03924e-05,3.03924e-05,3.03924e-05
