epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8482,1.0048,2.72083,4.95968,1.30342,0,0.00849,0.0074,0.00134,0.00078,0.00698,0.0063,0.0012,0.00088,0.90127,2.33937,4.90284,1.27176,0,3.08351e-05,3.08351e-05,3.08351e-05
2,116.198,0.85336,2.1482,4.79509,1.18828,0,0.01267,0.07271,0.01044,0.00888,0.01218,0.07086,0.01035,0.00876,0.85356,2.07043,4.70901,1.22714,0,6.06108e-05,6.06108e-05,6.06108e-05
3,171.147,0.84654,2.00995,4.58033,1.17903,0,0.0124,0.15822,0.01507,0.01227,0.01235,0.15805,0.01511,0.01198,0.87227,1.96931,4.46945,1.22644,0,8.91588e-05,8.91588e-05,8.91588e-05
4,227.902,0.86293,1.91017,4.29951,1.19054,0,0.52738,0.03043,0.0235,0.01904,0.52747,0.03051,0.02361,0.01857,0.91237,1.9137,4.29445,1.27023,0,8.74758e-05,8.74758e-05,8.74758e-05
5,284.681,0.89833,1.8465,4.01837,1.2161,0,0.46485,0.04952,0.03549,0.02853,0.46541,0.04995,0.03589,0.02735,0.93558,1.8616,4.02672,1.27017,0,8.56344e-05,8.56344e-05,8.56344e-05
6,341.948,0.90942,1.81591,3.7894,1.21908,0,0.51338,0.07245,0.04878,0.03838,0.51831,0.06659,0.04878,0.03725,0.95784,1.85002,3.80572,1.28994,0,8.3793e-05,8.3793e-05,8.3793e-05
7,399.059,0.927,1.79202,3.59308,1.23126,0,0.4486,0.088,0.05449,0.04297,0.44941,0.08718,0.05397,0.041,0.9379,1.84254,3.69513,1.27062,0,8.19516e-05,8.19516e-05,8.19516e-05
8,455.948,0.9197,1.75958,3.47589,1.22531,0,0.51017,0.09416,0.06437,0.05016,0.50991,0.09435,0.06412,0.04898,0.95805,1.82112,3.56908,1.28719,0,8.01102e-05,8.01102e-05,8.01102e-05
9,512.022,0.90031,1.74223,3.33761,1.21244,0,0.5485,0.09609,0.07044,0.0555,0.54932,0.09681,0.07104,0.0539,0.93744,1.78243,3.45494,1.27489,0,7.82688e-05,7.82688e-05,7.82688e-05
10,568.166,0.89379,1.71258,3.24213,1.20728,0,0.51783,0.09975,0.07749,0.06091,0.51629,0.09966,0.07724,0.05911,0.93507,1.80029,3.35389,1.26945,0,7.64274e-05,7.64274e-05,7.64274e-05
11,625.893,0.87595,1.70149,3.13208,1.19965,0,0.53337,0.11124,0.08439,0.06694,0.53345,0.11019,0.08412,0.06501,0.91328,1.76874,3.30797,1.24987,0,7.4586e-05,7.4586e-05,7.4586e-05
12,683.56,0.86097,1.67738,3.03097,1.18955,0,0.5913,0.11165,0.09313,0.07392,0.60252,0.10895,0.09331,0.07123,0.90202,1.77093,3.13152,1.24536,0,7.27446e-05,7.27446e-05,7.27446e-05
13,740.648,0.85201,1.6632,2.94589,1.18809,0,0.56504,0.12307,0.10027,0.07926,0.56249,0.12299,0.09957,0.07662,0.90696,1.76681,3.12821,1.25037,0,7.09032e-05,7.09032e-05,7.09032e-05
14,798.108,0.84938,1.63407,2.9128,1.18123,0,0.58966,0.1257,0.1075,0.0853,0.58905,0.12443,0.1079,0.08275,0.89508,1.76184,3.02659,1.24009,0,6.90618e-05,6.90618e-05,6.90618e-05
15,854.838,0.84494,1.62489,2.87227,1.17262,0,0.54505,0.1341,0.10924,0.0871,0.54517,0.13409,0.10967,0.08413,0.88234,1.75119,3.00223,1.23181,0,6.72204e-05,6.72204e-05,6.72204e-05
16,911.646,0.8234,1.61475,2.79727,1.1591,0,0.53442,0.13364,0.11357,0.09071,0.53371,0.13152,0.11239,0.08682,0.88635,1.76557,2.99014,1.2388,0,6.5379e-05,6.5379e-05,6.5379e-05
17,969.641,0.8145,1.58607,2.76279,1.15816,0,0.59515,0.12812,0.11861,0.09482,0.59562,0.12824,0.11825,0.09157,0.8772,1.77595,2.92801,1.23312,0,6.35376e-05,6.35376e-05,6.35376e-05
18,1026.9,0.81958,1.56986,2.70702,1.15633,0,0.5384,0.14385,0.12,0.09578,0.53791,0.14324,0.11906,0.09201,0.88211,1.77849,2.93053,1.23616,0,6.16962e-05,6.16962e-05,6.16962e-05
19,1084.35,0.79856,1.55749,2.67977,1.14757,0,0.53003,0.14726,0.12802,0.10177,0.53413,0.14553,0.12718,0.09826,0.8785,1.76328,2.9079,1.23569,0,5.98548e-05,5.98548e-05,5.98548e-05
20,1140.59,0.79164,1.55635,2.65578,1.14061,0,0.52277,0.14729,0.12823,0.10284,0.52169,0.14704,0.12769,0.09772,0.87001,1.74675,2.836,1.22538,0,5.80134e-05,5.80134e-05,5.80134e-05
