epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1261,1.10167,2.96076,5.0041,1.36643,0,0,0,0,0,0,0,0,0,0.90735,2.43742,5.0069,1.27636,0,3.06477e-05,3.06477e-05,3.06477e-05
2,56.2849,0.91465,2.33094,4.89487,1.22756,0,0.01779,0.00745,0.00091,0.00076,0.01775,0.00632,0.00081,0.00073,0.86615,2.19353,4.87637,1.22037,0,6.04271e-05,6.04271e-05,6.04271e-05
3,84.2165,0.87214,2.13797,4.7876,1.19396,0,0.01331,0.05599,0.0056,0.00402,0.01337,0.05495,0.00457,0.00372,0.85079,2.0371,4.73633,1.19841,0,8.89789e-05,8.89789e-05,8.89789e-05
4,112.001,0.88047,2.07028,4.70517,1.18557,0,0.01569,0.11234,0.01162,0.00995,0.01596,0.10912,0.01138,0.00963,0.8565,1.95567,4.62496,1.19335,0,8.74758e-05,8.74758e-05,8.74758e-05
5,139.929,0.87226,1.9576,4.56825,1.1756,0,0.01606,0.14294,0.01762,0.0146,0.01621,0.14651,0.01686,0.01394,0.85899,1.96384,4.53886,1.18996,0,8.56344e-05,8.56344e-05,8.56344e-05
6,167.971,0.87555,1.91667,4.46129,1.17162,0,0.01244,0.18168,0.02081,0.0175,0.01234,0.18118,0.02076,0.0171,0.87675,1.91925,4.43693,1.19297,0,8.3793e-05,8.3793e-05,8.3793e-05
7,195.744,0.89816,1.91394,4.33635,1.18637,0,0.30641,0.08107,0.02764,0.02338,0.4507,0.04426,0.02785,0.02278,0.88487,1.90721,4.31719,1.2088,0,8.19516e-05,8.19516e-05,8.19516e-05
8,223.406,0.9022,1.86718,4.21611,1.18641,0,0.55519,0.03262,0.03162,0.02654,0.555,0.03167,0.03218,0.02629,0.89366,1.86868,4.2404,1.20995,0,8.01102e-05,8.01102e-05,8.01102e-05
9,251.081,0.89977,1.81525,4.12566,1.1866,0,0.54665,0.0423,0.03829,0.03208,0.54699,0.04308,0.03824,0.03144,0.89361,1.83504,4.14648,1.20442,0,7.82688e-05,7.82688e-05,7.82688e-05
10,279.276,0.89077,1.77213,3.99121,1.17815,0,0.57657,0.0504,0.04089,0.03416,0.57659,0.0493,0.04076,0.03319,0.90737,1.87994,4.07315,1.22114,0,7.64274e-05,7.64274e-05,7.64274e-05
11,306.19,0.90684,1.73912,3.90064,1.192,0,0.57088,0.06521,0.04693,0.0394,0.59609,0.06001,0.04701,0.03799,0.91568,1.83882,3.97994,1.22948,0,7.4586e-05,7.4586e-05,7.4586e-05
12,334.453,0.93122,1.76318,3.80304,1.19735,0,0.57952,0.06292,0.04914,0.04119,0.59296,0.06137,0.04933,0.03976,0.91454,1.82931,3.92319,1.22094,0,7.27446e-05,7.27446e-05,7.27446e-05
13,363.063,0.90925,1.74446,3.73765,1.19344,0,0.55438,0.07856,0.05362,0.0446,0.55504,0.078,0.05437,0.0432,0.91597,1.81711,3.8004,1.22276,0,7.09032e-05,7.09032e-05,7.09032e-05
14,390.333,0.91612,1.7092,3.63292,1.18089,0,0.51516,0.08067,0.05879,0.04923,0.51643,0.07929,0.05913,0.04727,0.92294,1.81394,3.79335,1.22693,0,6.90618e-05,6.90618e-05,6.90618e-05
15,418.422,0.90451,1.72846,3.56114,1.18649,0,0.51628,0.09297,0.06634,0.05463,0.51606,0.09137,0.06675,0.05296,0.91727,1.79805,3.70375,1.22226,0,6.72204e-05,6.72204e-05,6.72204e-05
16,445.735,0.89391,1.67473,3.4736,1.1815,0,0.51826,0.10225,0.07264,0.05956,0.51769,0.10231,0.07263,0.05765,0.91967,1.80358,3.66744,1.22651,0,6.5379e-05,6.5379e-05,6.5379e-05
