epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3042,0.98275,2.63073,4.92145,1.28829,0,0.01298,0.01093,0.00153,0.00123,0.01202,0.01044,0.00152,0.0011,0.85744,2.17447,4.81793,1.22815,0,3.0901e-05,3.0901e-05,3.0901e-05
2,197.097,0.8593,2.09685,4.63812,1.19212,0,0.01186,0.11929,0.0138,0.01143,0.01185,0.11893,0.01416,0.01102,0.85271,1.96758,4.42777,1.20531,0,6.06753e-05,6.06753e-05,6.06753e-05
3,293.998,0.88933,1.95698,4.22578,1.21737,0,0.56998,0.04236,0.0271,0.0217,0.57054,0.04286,0.02761,0.02089,0.92154,1.90622,4.01061,1.25804,0,8.92221e-05,8.92221e-05,8.92221e-05
4,390.356,0.91518,1.86828,3.81359,1.2342,0,0.56163,0.07321,0.04584,0.03643,0.56161,0.07357,0.04631,0.03521,0.91376,1.82091,3.6544,1.2594,0,8.74758e-05,8.74758e-05,8.74758e-05
5,489.184,0.92333,1.80738,3.51795,1.24386,0,0.50408,0.08598,0.05661,0.04481,0.51405,0.08506,0.05646,0.04316,0.90682,1.79247,3.48942,1.24983,0,8.56344e-05,8.56344e-05,8.56344e-05
6,585.933,0.91108,1.77798,3.30937,1.2241,0,0.51535,0.09555,0.07217,0.05778,0.51409,0.09585,0.07207,0.055,0.89352,1.80989,3.32996,1.23914,0,8.3793e-05,8.3793e-05,8.3793e-05
7,683.447,0.88115,1.73702,3.16346,1.2125,0,0.50266,0.11737,0.08481,0.06765,0.50262,0.11691,0.08395,0.06472,0.88551,1.76366,3.1515,1.22967,0,8.19516e-05,8.19516e-05,8.19516e-05
8,784.126,0.86908,1.72197,3.03817,1.19898,0,0.51544,0.12635,0.09735,0.0771,0.51548,0.12614,0.09722,0.07414,0.87555,1.7307,3.04678,1.22157,0,8.01102e-05,8.01102e-05,8.01102e-05
9,881.276,0.86972,1.7269,2.95643,1.19369,0,0.53302,0.13565,0.10517,0.08275,0.53476,0.13528,0.10509,0.07901,0.8693,1.71662,2.92679,1.20778,0,7.82688e-05,7.82688e-05,7.82688e-05
10,977.974,0.84825,1.68363,2.84765,1.18192,0,0.54855,0.13766,0.11176,0.08862,0.54774,0.13733,0.11186,0.08478,0.84989,1.69243,2.82355,1.19941,0,7.64274e-05,7.64274e-05,7.64274e-05
11,1076.31,0.84489,1.68442,2.79196,1.17856,0,0.53593,0.14638,0.12152,0.09811,0.53877,0.14484,0.12134,0.09334,0.83451,1.68772,2.76367,1.18796,0,7.4586e-05,7.4586e-05,7.4586e-05
12,1173.39,0.82232,1.6409,2.71679,1.16388,0,0.55139,0.14484,0.12581,0.10177,0.55181,0.14541,0.12576,0.09664,0.8386,1.67986,2.72454,1.1984,0,7.27446e-05,7.27446e-05,7.27446e-05
13,1270.27,0.82189,1.64865,2.67934,1.16196,0,0.53431,0.14885,0.12795,0.10294,0.5349,0.14851,0.12835,0.09763,0.82759,1.68076,2.70412,1.18456,0,7.09032e-05,7.09032e-05,7.09032e-05
14,1368.77,0.81159,1.62285,2.63002,1.15583,0,0.52626,0.1617,0.1364,0.10997,0.5263,0.16258,0.13682,0.10433,0.81937,1.66272,2.61755,1.17074,0,6.90618e-05,6.90618e-05,6.90618e-05
15,1466.98,0.80882,1.59905,2.58403,1.15022,0,0.47939,0.17051,0.14082,0.11359,0.47885,0.17003,0.14011,0.10743,0.82412,1.67334,2.61294,1.17666,0,6.72204e-05,6.72204e-05,6.72204e-05
16,1564.53,0.80384,1.62275,2.54295,1.14398,0,0.50724,0.1691,0.14427,0.1166,0.51028,0.1672,0.14375,0.1098,0.82162,1.67051,2.57951,1.17568,0,6.5379e-05,6.5379e-05,6.5379e-05
17,1663.29,0.7873,1.57484,2.50035,1.13673,0,0.51658,0.17109,0.14864,0.12009,0.51558,0.17081,0.1476,0.11394,0.80678,1.64125,2.55709,1.1655,0,6.35376e-05,6.35376e-05,6.35376e-05
18,1763.09,0.79474,1.58687,2.46905,1.14178,0,0.51345,0.17736,0.15365,0.12437,0.51272,0.17637,0.15257,0.11711,0.81317,1.64832,2.52063,1.17088,0,6.16962e-05,6.16962e-05,6.16962e-05
19,1860.3,0.77399,1.54716,2.41292,1.12627,0,0.5344,0.17159,0.15798,0.12886,0.53423,0.17069,0.15717,0.12044,0.80805,1.64898,2.5101,1.15839,0,5.98548e-05,5.98548e-05,5.98548e-05
20,1958.01,0.77845,1.55049,2.41669,1.12618,0,0.5147,0.1862,0.16031,0.12941,0.51465,0.18591,0.15996,0.1222,0.79942,1.64848,2.45576,1.15527,0,5.80134e-05,5.80134e-05,5.80134e-05
21,2054.61,0.76261,1.52994,2.38417,1.12338,0,0.51062,0.19002,0.16574,0.13466,0.51069,0.1907,0.16505,0.12622,0.8018,1.65978,2.46285,1.15645,0,5.6172e-05,5.6172e-05,5.6172e-05
22,2152.44,0.77281,1.53283,2.34791,1.12233,0,0.47387,0.19744,0.16102,0.12955,0.47799,0.19691,0.16098,0.12274,0.81424,1.6699,2.47533,1.17007,0,5.43306e-05,5.43306e-05,5.43306e-05
23,2251.45,0.76455,1.53862,2.36224,1.12267,0,0.49836,0.18873,0.16626,0.13514,0.5002,0.18928,0.16648,0.12669,0.79707,1.64296,2.43224,1.15532,0,5.24892e-05,5.24892e-05,5.24892e-05
24,2349.82,0.7738,1.52177,2.33313,1.12351,0,0.51436,0.18818,0.17355,0.14184,0.51501,0.18907,0.17279,0.13319,0.80102,1.64898,2.41651,1.15801,0,5.06478e-05,5.06478e-05,5.06478e-05
25,2447.67,0.76266,1.5311,2.32315,1.11523,0,0.51637,0.20123,0.17745,0.1443,0.51718,0.20161,0.17727,0.13539,0.79577,1.63922,2.41128,1.15505,0,4.88064e-05,4.88064e-05,4.88064e-05
26,2545.41,0.7561,1.5063,2.27186,1.11315,0,0.50623,0.20384,0.17928,0.14532,0.5118,0.19761,0.17842,0.13707,0.79251,1.64129,2.3771,1.15019,0,4.6965e-05,4.6965e-05,4.6965e-05
27,2642.28,0.75744,1.50716,2.25789,1.11235,0,0.49046,0.19811,0.17884,0.14591,0.48822,0.1972,0.1771,0.13726,0.79193,1.64347,2.37155,1.15575,0,4.51236e-05,4.51236e-05,4.51236e-05
28,2739.54,0.7505,1.48772,2.24907,1.10922,0,0.47782,0.20712,0.1841,0.15014,0.47818,0.20844,0.18362,0.14082,0.79097,1.63135,2.35412,1.14784,0,4.32822e-05,4.32822e-05,4.32822e-05
29,2836.77,0.75698,1.51018,2.25104,1.11167,0,0.4823,0.20876,0.18635,0.15261,0.48402,0.2096,0.18613,0.14308,0.79809,1.6567,2.37845,1.15826,0,4.14408e-05,4.14408e-05,4.14408e-05
30,2934.03,0.74992,1.50384,2.21853,1.10805,0,0.47138,0.21188,0.18766,0.15326,0.47117,0.21253,0.18725,0.14347,0.7865,1.62668,2.33308,1.14774,0,3.95994e-05,3.95994e-05,3.95994e-05
31,3030.66,0.74082,1.48293,2.19748,1.09856,0,0.46508,0.21883,0.19203,0.15733,0.46405,0.21886,0.19162,0.14772,0.787,1.60743,2.32172,1.14642,0,3.7758e-05,3.7758e-05,3.7758e-05
32,3129.79,0.7484,1.50169,2.20918,1.10746,0,0.5206,0.20569,0.19339,0.15768,0.52004,0.20529,0.19287,0.14793,0.78716,1.63099,2.30877,1.14411,0,3.59166e-05,3.59166e-05,3.59166e-05
33,3230.99,0.73456,1.46406,2.17858,1.09963,0,0.49747,0.20688,0.19456,0.15878,0.49818,0.20792,0.19437,0.14913,0.77879,1.62497,2.31046,1.14238,0,3.40752e-05,3.40752e-05,3.40752e-05
34,3327.62,0.73405,1.46209,2.16561,1.10153,0,0.49338,0.20452,0.19531,0.15959,0.49306,0.20545,0.19572,0.14954,0.78863,1.64122,2.31972,1.14899,0,3.22338e-05,3.22338e-05,3.22338e-05
35,3423.73,0.73474,1.45203,2.1489,1.09542,0,0.49038,0.21395,0.19524,0.15925,0.49158,0.21482,0.19519,0.1503,0.78387,1.63289,2.30499,1.14697,0,3.03924e-05,3.03924e-05,3.03924e-05
36,3521.9,0.73016,1.44214,2.12959,1.09262,0,0.48136,0.21157,0.19735,0.16026,0.48158,0.21238,0.19705,0.15165,0.77718,1.61241,2.27981,1.13867,0,2.8551e-05,2.8551e-05,2.8551e-05
37,3619.14,0.73395,1.46691,2.13877,1.09889,0,0.50202,0.21045,0.19822,0.16105,0.49766,0.21608,0.19802,0.15158,0.77756,1.61117,2.2817,1.13833,0,2.67096e-05,2.67096e-05,2.67096e-05
38,3715.89,0.72066,1.41682,2.11354,1.08956,0,0.46053,0.22592,0.20252,0.16596,0.46179,0.22741,0.20182,0.15565,0.78217,1.61399,2.27366,1.14122,0,2.48682e-05,2.48682e-05,2.48682e-05
39,3813.27,0.72098,1.42557,2.11093,1.0892,0,0.47105,0.2202,0.19858,0.16141,0.45767,0.2208,0.19888,0.15124,0.78494,1.63766,2.28228,1.14476,0,2.30268e-05,2.30268e-05,2.30268e-05
40,3913.03,0.72439,1.4351,2.11509,1.08926,0,0.48478,0.21466,0.20771,0.1707,0.48614,0.21389,0.20781,0.15929,0.77798,1.62216,2.26435,1.137,0,2.11854e-05,2.11854e-05,2.11854e-05
41,3995.93,0.6971,1.42685,2.20702,1.10194,0,0.422,0.24367,0.1966,0.15799,0.42264,0.2435,0.19747,0.14811,0.76364,1.64634,2.27681,1.12056,0,1.9344e-05,1.9344e-05,1.9344e-05
42,4075.04,0.66421,1.35479,2.09542,1.08023,0,0.4338,0.23859,0.20126,0.16415,0.43649,0.23757,0.20174,0.15356,0.76655,1.63166,2.26775,1.12119,0,1.75026e-05,1.75026e-05,1.75026e-05
43,4154.53,0.67141,1.35542,2.09278,1.08083,0,0.45649,0.22437,0.2018,0.16428,0.4603,0.22267,0.20231,0.15357,0.76672,1.63562,2.27931,1.12603,0,1.56612e-05,1.56612e-05,1.56612e-05
44,4234.58,0.66119,1.33656,2.05804,1.07251,0,0.42018,0.23897,0.20881,0.17018,0.42146,0.23683,0.20865,0.15824,0.76719,1.62436,2.25576,1.12374,0,1.38198e-05,1.38198e-05,1.38198e-05
45,4314.57,0.66163,1.33872,2.05135,1.07509,0,0.40612,0.2415,0.21035,0.17168,0.40516,0.24216,0.20974,0.15956,0.76783,1.62188,2.24784,1.12339,0,1.19784e-05,1.19784e-05,1.19784e-05
46,4393.93,0.65549,1.31262,2.02621,1.06989,0,0.45837,0.23102,0.21103,0.17253,0.45942,0.23014,0.21041,0.16064,0.7663,1.62042,2.24445,1.12296,0,1.0137e-05,1.0137e-05,1.0137e-05
