epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7998,1.00293,2.68951,4.92768,1.29987,0,0.00827,0.02778,0.00433,0.00364,0.00818,0.02591,0.00426,0.0035,0.87735,2.18588,4.81327,1.24326,0,3.0876e-05,3.0876e-05,3.0876e-05
2,155.331,0.87145,2.09848,4.66625,1.19496,0,0.00996,0.16225,0.01389,0.01165,0.00984,0.1567,0.0137,0.01113,0.87397,1.99596,4.48595,1.21783,0,6.06509e-05,6.06509e-05,6.06509e-05
3,230.541,0.89889,1.97771,4.35364,1.2038,0,0.51472,0.03628,0.02747,0.02271,0.51494,0.03653,0.02744,0.02189,0.90995,1.92447,4.24085,1.24487,0,8.91981e-05,8.91981e-05,8.91981e-05
4,307.114,0.92006,1.90088,4.01078,1.21518,0,0.55297,0.05731,0.04204,0.03385,0.55258,0.05691,0.04187,0.03236,0.93866,1.897,3.92137,1.2657,0,8.74758e-05,8.74758e-05,8.74758e-05
5,383.083,0.94508,1.87796,3.7453,1.2342,0,0.555,0.07404,0.05089,0.04032,0.55397,0.07338,0.05013,0.03878,0.94305,1.86209,3.70174,1.27049,0,8.56344e-05,8.56344e-05,8.56344e-05
6,459.408,0.92543,1.81142,3.51121,1.22034,0,0.50688,0.09398,0.06507,0.05189,0.507,0.09439,0.06445,0.04938,0.90897,1.81398,3.5026,1.24628,0,8.3793e-05,8.3793e-05,8.3793e-05
7,537.303,0.9111,1.79242,3.34772,1.2085,0,0.52009,0.11114,0.07794,0.06216,0.52022,0.11121,0.07759,0.05954,0.9027,1.77428,3.30416,1.24188,0,8.19516e-05,8.19516e-05,8.19516e-05
8,612.939,0.89506,1.74207,3.1976,1.21054,0,0.55422,0.1156,0.08825,0.07073,0.56719,0.1135,0.08883,0.06751,0.88932,1.78281,3.17639,1.23539,0,8.01102e-05,8.01102e-05,8.01102e-05
9,689.313,0.89298,1.74683,3.09644,1.20619,0,0.56429,0.1138,0.09558,0.07532,0.57539,0.11433,0.09544,0.07197,0.87621,1.75022,3.11415,1.21734,0,7.82688e-05,7.82688e-05,7.82688e-05
10,766.056,0.87079,1.71662,3.01047,1.18729,0,0.58908,0.12239,0.1019,0.08123,0.58937,0.12245,0.10235,0.07758,0.8719,1.74784,3.05217,1.21622,0,7.64274e-05,7.64274e-05,7.64274e-05
11,842.947,0.86063,1.66942,2.92927,1.17698,0,0.61666,0.12727,0.10894,0.08672,0.61623,0.12877,0.10877,0.08281,0.866,1.74586,2.98394,1.22074,0,7.4586e-05,7.4586e-05,7.4586e-05
12,920.548,0.8572,1.67523,2.85556,1.16977,0,0.55737,0.13963,0.1147,0.09148,0.55807,0.14046,0.11511,0.08657,0.85714,1.73086,2.89798,1.1977,0,7.27446e-05,7.27446e-05,7.27446e-05
13,997.354,0.84883,1.68172,2.82154,1.17369,0,0.59114,0.1418,0.12313,0.09793,0.60356,0.13926,0.12357,0.09326,0.84589,1.72179,2.84692,1.19304,0,7.09032e-05,7.09032e-05,7.09032e-05
14,1074.69,0.8391,1.66853,2.78205,1.16235,0,0.59346,0.14678,0.12608,0.10014,0.59496,0.14655,0.12611,0.0958,0.85016,1.70788,2.82524,1.1971,0,6.90618e-05,6.90618e-05,6.90618e-05
15,1151.51,0.8359,1.64946,2.708,1.16099,0,0.58184,0.15109,0.13076,0.10477,0.58325,0.15085,0.13081,0.10002,0.8596,1.73211,2.81108,1.20306,0,6.72204e-05,6.72204e-05,6.72204e-05
16,1228.77,0.81514,1.61096,2.67368,1.1495,0,0.56905,0.15693,0.13706,0.10886,0.58251,0.15805,0.13754,0.10396,0.85448,1.70613,2.76288,1.19836,0,6.5379e-05,6.5379e-05,6.5379e-05
17,1305.04,0.80798,1.57763,2.63144,1.1431,0,0.59572,0.16118,0.14103,0.11251,0.59663,0.16206,0.14272,0.10755,0.83325,1.69334,2.66869,1.18184,0,6.35376e-05,6.35376e-05,6.35376e-05
18,1380.6,0.802,1.61154,2.60309,1.142,0,0.60111,0.16337,0.14275,0.11406,0.60628,0.16301,0.14268,0.10816,0.83532,1.7101,2.68745,1.19071,0,6.16962e-05,6.16962e-05,6.16962e-05
19,1457.84,0.80367,1.61547,2.55265,1.13807,0,0.57131,0.17722,0.14845,0.11925,0.57135,0.17834,0.14962,0.11322,0.82352,1.70216,2.61005,1.1704,0,5.98548e-05,5.98548e-05,5.98548e-05
20,1534.28,0.79774,1.57096,2.52063,1.13021,0,0.60388,0.16616,0.15265,0.12296,0.60496,0.16627,0.15381,0.11642,0.82376,1.70275,2.60102,1.17082,0,5.80134e-05,5.80134e-05,5.80134e-05
21,1610.89,0.80005,1.58075,2.50749,1.13621,0,0.57795,0.17245,0.16442,0.13302,0.57834,0.17379,0.16472,0.12491,0.81772,1.68655,2.60225,1.16858,0,5.6172e-05,5.6172e-05,5.6172e-05
22,1689.41,0.78211,1.56366,2.47873,1.12267,0,0.57363,0.17671,0.15858,0.12675,0.57211,0.17653,0.15763,0.11969,0.82003,1.69171,2.58131,1.17241,0,5.43306e-05,5.43306e-05,5.43306e-05
23,1767.33,0.7903,1.56283,2.48501,1.12648,0,0.59543,0.16888,0.15981,0.12857,0.60075,0.16957,0.16046,0.12211,0.82072,1.67895,2.56681,1.16997,0,5.24892e-05,5.24892e-05,5.24892e-05
24,1844.47,0.7817,1.54425,2.43024,1.1166,0,0.53646,0.18758,0.16569,0.13397,0.53681,0.18886,0.16673,0.12663,0.81483,1.68437,2.55124,1.17121,0,5.06478e-05,5.06478e-05,5.06478e-05
25,1920.65,0.78022,1.543,2.41884,1.12142,0,0.59614,0.16731,0.16264,0.13113,0.59982,0.16865,0.1642,0.12484,0.81553,1.68847,2.54241,1.16945,0,4.88064e-05,4.88064e-05,4.88064e-05
26,1997.7,0.77637,1.52572,2.38407,1.1203,0,0.5791,0.18247,0.16772,0.13539,0.58218,0.18402,0.16841,0.12853,0.8113,1.67536,2.5141,1.16343,0,4.6965e-05,4.6965e-05,4.6965e-05
27,2074.03,0.76274,1.52536,2.35544,1.10792,0,0.54403,0.19262,0.1704,0.13807,0.54482,0.19324,0.17046,0.12995,0.80184,1.65726,2.47857,1.15267,0,4.51236e-05,4.51236e-05,4.51236e-05
