epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,118.134,0.96053,2.52274,4.88688,1.2722,0,0.00946,0.02542,0.00468,0.00387,0.00964,0.02501,0.00466,0.0037,0.84388,2.11885,4.74976,1.22343,0,3.09173e-05,3.09173e-05,3.09173e-05
2,233.485,0.86614,2.02387,4.52322,1.19564,0,0.5998,0.02932,0.01929,0.01551,0.60004,0.02948,0.01944,0.01481,0.87913,1.94787,4.31701,1.23363,0,6.06914e-05,6.06914e-05,6.06914e-05
3,348.003,0.90906,1.89012,4.06761,1.21332,0,0.60611,0.06363,0.03757,0.02993,0.60633,0.06272,0.03763,0.02868,0.9169,1.89294,3.85378,1.25293,0,8.92378e-05,8.92378e-05,8.92378e-05
4,461.707,0.9275,1.84821,3.63935,1.22428,0,0.56302,0.0814,0.05478,0.04386,0.56322,0.08185,0.05495,0.04194,0.91378,1.83931,3.49663,1.25021,0,8.74758e-05,8.74758e-05,8.74758e-05
5,576.947,0.91444,1.79146,3.33197,1.21625,0,0.62323,0.09019,0.07149,0.05727,0.62302,0.09006,0.0716,0.05508,0.89559,1.80589,3.33977,1.24382,0,8.56344e-05,8.56344e-05,8.56344e-05
6,690.926,0.88787,1.74883,3.13079,1.20775,0,0.57232,0.10623,0.08074,0.06443,0.57236,0.10649,0.08079,0.06176,0.87549,1.75972,3.09719,1.22514,0,8.3793e-05,8.3793e-05,8.3793e-05
7,804.938,0.86229,1.70766,2.9755,1.19107,0,0.59321,0.11614,0.09233,0.07347,0.59293,0.11529,0.09192,0.07004,0.86301,1.74872,2.95032,1.2055,0,8.19516e-05,8.19516e-05,8.19516e-05
8,921.247,0.85666,1.71276,2.89054,1.1811,0,0.55802,0.13286,0.1028,0.08251,0.55855,0.13216,0.10222,0.07862,0.8545,1.73848,2.90313,1.20642,0,8.01102e-05,8.01102e-05,8.01102e-05
9,1037.43,0.84491,1.68969,2.79397,1.17423,0,0.59221,0.13655,0.10965,0.08817,0.5922,0.13675,0.10954,0.0843,0.85068,1.71567,2.80722,1.19696,0,7.82688e-05,7.82688e-05,7.82688e-05
10,1152.93,0.83695,1.66108,2.70676,1.16835,0,0.57554,0.1405,0.11731,0.09386,0.57777,0.14048,0.11742,0.09031,0.83569,1.70093,2.72464,1.18682,0,7.64274e-05,7.64274e-05,7.64274e-05
11,1266.72,0.81532,1.62356,2.6449,1.15316,0,0.64845,0.14391,0.12385,0.09926,0.65049,0.1433,0.12364,0.09466,0.82198,1.68648,2.67336,1.18412,0,7.4586e-05,7.4586e-05,7.4586e-05
12,1382.4,0.79709,1.60502,2.59163,1.14677,0,0.58975,0.15629,0.12906,0.10347,0.59107,0.15631,0.12889,0.09859,0.8232,1.66354,2.61118,1.17705,0,7.27446e-05,7.27446e-05,7.27446e-05
13,1498.32,0.8029,1.62476,2.55552,1.14288,0,0.55941,0.16336,0.1354,0.10815,0.56047,0.16435,0.13544,0.10332,0.82777,1.67626,2.59873,1.1752,0,7.09032e-05,7.09032e-05,7.09032e-05
14,1612.53,0.79517,1.59387,2.49482,1.1391,0,0.5955,0.1633,0.14093,0.11374,0.59541,0.163,0.1408,0.10822,0.81403,1.66209,2.57575,1.17121,0,6.90618e-05,6.90618e-05,6.90618e-05
15,1727.64,0.79275,1.57785,2.47183,1.13634,0,0.54425,0.17934,0.14514,0.11688,0.54516,0.17858,0.14494,0.1106,0.79899,1.65178,2.48481,1.15715,0,6.72204e-05,6.72204e-05,6.72204e-05
16,1843.46,0.78206,1.56728,2.44256,1.12378,0,0.58625,0.16548,0.15153,0.1224,0.58682,0.16621,0.15112,0.11624,0.80415,1.63697,2.46335,1.16103,0,6.5379e-05,6.5379e-05,6.5379e-05
